102;207;99;778;101;278;103;136;99;335
102;207;99;778;99;419;100;813;98;891
102;207;99;778;99;884;99;419;98;891
101;278;98;448;100;813;99;884;99;335
100;348;96;674;102;671;100;348;99;335
100;348;96;674;103;6;101;742;95;344
101;278;97;118;104;994;103;136;93;57
101;742;98;4;105;459;104;53;93;57
103;136;99;335;105;923;105;459;94;13
104;994;100;665;105;923;106;388;96;231
105;923;101;996;105;923;106;388;98;4
106;852;102;439;105;923;106;388;98;891
107;782;102;882;105;923;105;923;99;335
108;246;102;882;105;459;105;923;100;222
108;246;103;326;104;994;105;459;100;222
108;711;102;882;104;53;104;994;100;222
108;711;102;439;104;65;104;65;99;778
108;711;102;439;103;6;103;6;99;778
108;711;101;996;103;136;103;136;99;335
108;711;101;552;102;207;102;207;98;891
108;711;101;109;101;742;101;742;98;448
108;246;100;665;101;278;100;813;98;4
108;246;99;778;100;348;99;884;97;561
108;246;99;335;99;419;98;955;97;118
107;782;98;448;98;955;98;49;96;231
107;782;98;4;98;26;97;96;95;787
107;317;97;118;97;96;96;167;94;9
107;317;96;231;96;167;95;238;94;457
106;852;95;344;95;238;94;309;93;57
106;852;94;9;94;309;92;915;92;683
106;852;94;13;93;38;91;986;92;239
106;388;93;126;92;451;91;57;91;353
105;923;92;239;91;521;89;663;90;466
105;923;91;353;90;128;88;734;89;135
105;459;90;466;89;663;87;805;88;692
105;459;89;579;88;734;86;876;87;805
105;459;88;692;87;805;85;947;86;918
104;994;87;805;87;34;85;482;86;31
104;994;86;918;85;482;83;624;85;144
104;53;85;588;85;17;82;695;84;701
104;53;85;588;84;88;82;695;83;37
104;65;85;144;83;159;81;765;82;927
104;65;83;814;82;695;80;836;82;4
104;65;82;927;81;765;80;372;81;153
104;65;82;483;81;765;79;907;79;823
103;6;82;4;80;836;78;49;78;936
103;6;81;153;79;907;76;655;78;49
103;6;79;823;78;513;75;261;77;162
103;136;79;823;78;978;73;868;76;718
103;136;78;936;78;49;73;868;75;388
103;136;78;49;76;655;73;868;74;945
103;136;77;162;76;19;72;938;74;945
103;136;75;831;75;726;72;938;74;58
103;136;76;275;75;261;72;9;73;614
103;136;75;831;73;403;72;9;72;727
102;671;75;388;72;474;70;616;71;84
102;671;74;58;72;474;71;8;72;284
102;671;74;58;71;545;71;8;70;953
102;671;73;614;70;616;69;222;69;623
102;671;74;58;70;616;68;757;69;18
102;671;73;171;71;8;68;293;67;849
102;671;72;284;70;616;68;293;66;962
102;671;72;284;70;151;68;293;66;962
102;671;71;84;69;686;67;364;66;75
102;671;71;84;69;686;67;364;65;632
102;671;71;84;68;757;67;828;65;188
102;671;70;51;68;293;65;97;64;302
102;671;70;67;68;293;65;41;63;858
102;671;68;736;68;293;64;111;63;858
102;671;68;293;67;364;64;111;63;858
102;671;68;293;67;828;64;576;62;84
102;671;68;293;66;899;63;647;61;641
103;136;67;849;65;505;64;111;61;641
103;136;67;406;65;41;63;647;61;641
103;136;66;519;64;576;62;718;60;754
103;136;66;519;65;505;62;253;60;31
103;136;66;519;65;41;61;324;60;754
103;136;66;75;65;505;61;324;60;31
103;6;66;75;65;41;61;324;59;867
103;6;66;519;64;111;61;789;58;537
103;6;65;632;63;647;60;395;59;424
103;6;65;188;63;647;60;395;58;98
103;6;64;745;63;182;60;395;58;93
104;65;64;745;63;182;60;395;58;537
104;65;65;188;63;182;60;395;58;93
104;65;64;745;62;718;59;93;57;65
104;65;63;858;62;253;59;1;56;763
104;65;63;858;62;253;59;1;56;763
104;53;63;858;61;789;59;1;56;319
104;53;63;415;61;324;58;537;55;432
104;53;63;415;61;324;59;1;55;432
104;53;62;528;60;395;58;537;55;432
104;994;62;971;59;93;58;72;54;989
104;994;63;415;59;93;57;607;54;989
104;994;62;971;59;93;57;607;54;102
104;994;62;528;59;466;57;607;54;545
104;994;61;641;59;1;56;678;54;102
105;459;61;641;59;1;57;143;54;102
105;459;62;84;58;537;57;143;53;659
105;459;61;641;59;466;57;607;54;102
105;923;62;84;58;537;56;678;52;772
105;923;62;84;59;1;56;214;53;215
105;923;61;197;59;1;56;214;52;328
105;923;61;197;59;1;56;214;53;215
105;923;61;197;58;537;56;214;52;328
105;923;61;197;58;537;55;749;51;885
106;388;61;641;58;72;55;749;51;885
106;388;60;31;58;72;54;82;51;441
106;388;61;197;58;537;54;82;51;885
106;388;61;641;58;537;54;82;52;328
106;852;61;197;58;537;55;749;51;441
106;852;61;197;58;72;55;285;51;885
106;852;60;754;56;678;56;214;51;441
106;852;60;754;58;72;54;82;50;554
